Employee Name,Email Address,Phone number
David Johnson,davidjohnson@helpinghands.cm,698548231
Josue Short,josueshort@helpinghands.cm,698548231
Stephane Scott ,stephanescott@helpinghands.cm,698548231
Claude Wood,claudewood@helpinghands.cm,698548231
Freddy Herman,freddyherman@helpinghands.cm,698548231
Jean Dubois,jeandubois@helpinghands.cm,698548231
Gedeon Norman,gedeonnorman@helpinghands.cm,698548231
Pascaline Cheek,pascalinecheek@helpinghands.cm,698548231
Cyndie Ray,cyndieray@helpinghands.cm,698548231
Laetitia Big,laetitiabig@helpinghands.cm,698548231
Louis Vitton,louisvitton@helpinghands.cm,698548231
Coco Chanel,cocochanel@helpinghands.cm,698548231
Liz Rhum,lizrhum@helpinghands.cm,698548231
Nathalie Koh,nathaliekoh@helpinghands.cm,698548231
Coco Emile,cocoemile@helpinghands.cm,698548231
Emily Paris,emilyparis@helpinghands.cm,698548231
Blaise Arin,blaisearin@helpinghands.cm,698548231
Mac Bright,macbright@helpinghands.cm,698548231
Jordan Smith,jordansmith@helpinghands.cm,698548231
Cyril Rein,cyrilrein@helpinghands.cm,698548231
Rain Bow,rainbow@helpinghands.cm,698548231
Nelly Pic,nellypic@helpinghands.cm,698548231
Miu Miu,miumiu@helpinghands.cm,698548231
Saint Laurent,saintlaurent@helpinghands.cm,698548231
Yves Doub,yvesdoub@helpinghands.cm,698548231
Martin Arselo,martinarselo@helpinghands.cm,698548231
Jacques Jin,jacquesjin@helpinghands.cm,698548231
Fanny Lum,fannylum@helpinghands.cm,698548231
Grace Precious,graceprecious@helpinghands.cm,698548231
