Employee Name,Email Address,Phone number
David Johnson,davidjohnson@handsinhands.org,698548231
Josue Short,josueshort@handsinhands.org,698548231
Stephane Scott ,stephanescott@handsinhands.org,698548231
Claude Wood,claudewood@handsinhands.org,698548231
Freddy Herman,freddyherman@handsinhands.org,698548231
Jean Dubois,jeandubois@handsinhands.org,698548231
Gedeon Norman,gedeonnorman@handsinhands.org,698548231
Pascaline Cheek,pascalinecheek@handsinhands.org,698548231
Cyndie Ray,cyndieray@handsinhands.org,698548231
Laetitia Big,laetitiabig@handsinhands.org,698548231
Louis Vitton,louisvitton@handsinhands.org,698548231
Coco Chanel,cocochanel@handsinhands.org,698548231
Liz Rhum,lizrhum@handsinhands.org,698548231
Nathalie Koh,nathaliekoh@handsinhands.org,698548231
Coco Emile,cocoemile@handsinhands.org,698548231
Emily Paris,emilyparis@handsinhands.org,698548231
Blaise Arin,blaisearin@handsinhands.org,698548231
Mac Bright,macbright@handsinhands.org,698548231
Jordan Smith,jordansmith@handsinhands.org,698548231
Cyril Rein,cyrilrein@handsinhands.org,698548231
Rain Bow,rainbow@handsinhands.org,698548231
Nelly Pic,nellypic@handsinhands.org,698548231
Miu Miu,miumiu@handsinhands.org,698548231
Saint Laurent,saintlaurent@handsinhands.org,698548231
Yves Doub,yvesdoub@handsinhands.org,698548231
Martin Arselo,martinarselo@handsinhands.org,698548231
Jacques Jin,jacquesjin@handsinhands.org,698548231
Fanny Lum,fannylum@handsinhands.org,698548231
Grace Precious,graceprecious@handsinhands.org,698548231
